goos: linux
goarch: amd64
pkg: github.com/petenewcomb/psg-go
cpu: Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-8         	   38180	     32024 ns/op	         0 max-depth	         0 max-nominal-workflow-duration-ns	     10310 p50-gather-duration-ns	      1237 p50-gather-latency-ns	      7546 p50-task-latency-ns	      8700 p50-workflow-latency-ns	     10618 p99-gather-duration-ns	      2074 p99-gather-latency-ns	     24433 p99-task-latency-ns	     24940 p99-workflow-latency-ns	         1.043 tasks/op	     32555 tasks/sec	         1.000 tasks/top-level-task	       0 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=1-8            	   24602	     48736 ns/op	         0.6214 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10319 p50-combine-duration-ns	    329282 p50-combine-latency-ns	    374701 p50-combine-workflow-latency-ns	     10258 p50-gather-duration-ns	     11333 p50-gather-latency-ns	     40852 p50-task-latency-ns	    388589 p50-workflow-latency-ns	         1.000 p99-combine-count	     46592 p99-combine-duration-ns	    964890 p99-combine-latency-ns	   1012111 p99-combine-workflow-latency-ns	     32452 p99-gather-duration-ns	    101505 p99-gather-latency-ns	    138445 p99-task-latency-ns	   1079214 p99-workflow-latency-ns	         1.645 tasks/op	     33761 tasks/sec	        15.99 tasks/top-level-task	       3 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=1-8            	   24820	     48075 ns/op	         0.6227 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10316 p50-combine-duration-ns	    324056 p50-combine-latency-ns	    371041 p50-combine-workflow-latency-ns	     10250 p50-gather-duration-ns	     11169 p50-gather-latency-ns	     40777 p50-task-latency-ns	    384810 p50-workflow-latency-ns	         1.000 p99-combine-count	     45877 p99-combine-duration-ns	    954172 p99-combine-latency-ns	    998647 p99-combine-workflow-latency-ns	     31635 p99-gather-duration-ns	     77230 p99-gather-latency-ns	    140743 p99-task-latency-ns	   1048690 p99-workflow-latency-ns	         1.633 tasks/op	     33976 tasks/sec	        16.00 tasks/top-level-task	       1 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=1-8            	   25256	     48189 ns/op	         0.6244 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10313 p50-combine-duration-ns	    328881 p50-combine-latency-ns	    374977 p50-combine-workflow-latency-ns	     10271 p50-gather-duration-ns	     11146 p50-gather-latency-ns	     40627 p50-task-latency-ns	    388235 p50-workflow-latency-ns	         1.000 p99-combine-count	     45837 p99-combine-duration-ns	    932271 p99-combine-latency-ns	    978432 p99-combine-workflow-latency-ns	     30943 p99-gather-duration-ns	     69499 p99-gather-latency-ns	    143924 p99-task-latency-ns	   1016930 p99-workflow-latency-ns	         1.657 tasks/op	     34379 tasks/sec	        15.99 tasks/top-level-task	       1 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=1-8            	   25017	     48035 ns/op	         0.6229 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10315 p50-combine-duration-ns	    336964 p50-combine-latency-ns	    380680 p50-combine-workflow-latency-ns	     10248 p50-gather-duration-ns	     11220 p50-gather-latency-ns	     40544 p50-task-latency-ns	    394601 p50-workflow-latency-ns	         1.000 p99-combine-count	     46452 p99-combine-duration-ns	    973223 p99-combine-latency-ns	   1018243 p99-combine-workflow-latency-ns	     32171 p99-gather-duration-ns	     60342 p99-gather-latency-ns	    137832 p99-task-latency-ns	   1051225 p99-workflow-latency-ns	         1.627 tasks/op	     33879 tasks/sec	        16.00 tasks/top-level-task	       2 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=1-8            	   24866	     48235 ns/op	         0.6232 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10321 p50-combine-duration-ns	    322453 p50-combine-latency-ns	    369078 p50-combine-workflow-latency-ns	     10259 p50-gather-duration-ns	     11385 p50-gather-latency-ns	     40610 p50-task-latency-ns	    383063 p50-workflow-latency-ns	         1.000 p99-combine-count	     46383 p99-combine-duration-ns	    937055 p99-combine-latency-ns	    981537 p99-combine-workflow-latency-ns	     32637 p99-gather-duration-ns	     81842 p99-gather-latency-ns	    139524 p99-task-latency-ns	   1034852 p99-workflow-latency-ns	         1.628 tasks/op	     33760 tasks/sec	        15.97 tasks/top-level-task	       7 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=1-8            	   25285	     47745 ns/op	         0.6224 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10315 p50-combine-duration-ns	    331487 p50-combine-latency-ns	    377863 p50-combine-workflow-latency-ns	     10251 p50-gather-duration-ns	     11173 p50-gather-latency-ns	     40486 p50-task-latency-ns	    391594 p50-workflow-latency-ns	         1.000 p99-combine-count	     45598 p99-combine-duration-ns	    957478 p99-combine-latency-ns	   1004190 p99-combine-workflow-latency-ns	     31302 p99-gather-duration-ns	     90277 p99-gather-latency-ns	    141335 p99-task-latency-ns	   1062662 p99-workflow-latency-ns	         1.624 tasks/op	     34005 tasks/sec	        15.99 tasks/top-level-task	       2 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=2-8            	    5472	    229599 ns/op	         0.7774 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10360 p50-combine-duration-ns	     50741 p50-combine-latency-ns	    124292 p50-combine-workflow-latency-ns	     10267 p50-gather-duration-ns	     32414 p50-gather-latency-ns	     55421 p50-task-latency-ns	    172253 p50-workflow-latency-ns	         1.000 p99-combine-count	     48975 p99-combine-duration-ns	    340774 p99-combine-latency-ns	    408195 p99-combine-workflow-latency-ns	     34901 p99-gather-duration-ns	    527311 p99-gather-latency-ns	    214876 p99-task-latency-ns	    734113 p99-workflow-latency-ns	         9.192 tasks/op	     40035 tasks/sec	        16.00 tasks/top-level-task	       4 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=2-8            	    5488	    230737 ns/op	         0.7818 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10358 p50-combine-duration-ns	     51422 p50-combine-latency-ns	    124583 p50-combine-workflow-latency-ns	     10272 p50-gather-duration-ns	     32419 p50-gather-latency-ns	     55977 p50-task-latency-ns	    172754 p50-workflow-latency-ns	         1.000 p99-combine-count	     48919 p99-combine-duration-ns	    379692 p99-combine-latency-ns	    451010 p99-combine-workflow-latency-ns	     34677 p99-gather-duration-ns	    525894 p99-gather-latency-ns	    209998 p99-task-latency-ns	    754473 p99-workflow-latency-ns	         9.275 tasks/op	     40196 tasks/sec	        16.00 tasks/top-level-task	      14 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=2-8            	    5577	    228948 ns/op	         0.7899 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10360 p50-combine-duration-ns	     54269 p50-combine-latency-ns	    128154 p50-combine-workflow-latency-ns	     10269 p50-gather-duration-ns	     32464 p50-gather-latency-ns	     55461 p50-task-latency-ns	    176413 p50-workflow-latency-ns	         1.000 p99-combine-count	     49476 p99-combine-duration-ns	    366312 p99-combine-latency-ns	    432066 p99-combine-workflow-latency-ns	     35232 p99-gather-duration-ns	    524905 p99-gather-latency-ns	    205789 p99-task-latency-ns	    730707 p99-workflow-latency-ns	         9.184 tasks/op	     40115 tasks/sec	        16.00 tasks/top-level-task	      14 B/op	       0 allocs/op
