goos: linux
goarch: amd64
pkg: github.com/petenewcomb/psg-go
cpu: 13th Gen Intel(R) Core(TM) i5-1345U
BenchmarkCombinerThroughput/workload=waiting/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-12           	   45596	    520469 ns/op	         0 p50-combine-duration-ns	   1130443 p50-combine-latency-ns	   1130443 p50-combine-workflow-latency-ns	     28529 p50-gather-duration-ns	       723.2 p50-gather-latency-ns	   1130443 p50-task-latency-ns	     28529 p50-workflow-duration-ns	   1131253 p50-workflow-latency-ns	         0 p99-combine-duration-ns	  11098056 p99-combine-latency-ns	  11098056 p99-combine-workflow-latency-ns	   1130912 p99-gather-duration-ns	      1728 p99-gather-latency-ns	  11098056 p99-task-latency-ns	   1130912 p99-workflow-duration-ns	  11098711 p99-workflow-latency-ns	         1.982 tasks/op	      3809 tasks/sec	    1882 B/op	      50 allocs/op
BenchmarkCombinerThroughput/workload=waiting/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-12           	   45838	    531398 ns/op	         0 p50-combine-duration-ns	   1140961 p50-combine-latency-ns	   1140961 p50-combine-workflow-latency-ns	     29879 p50-gather-duration-ns	       713.4 p50-gather-latency-ns	   1140961 p50-task-latency-ns	     29879 p50-workflow-duration-ns	   1141758 p50-workflow-latency-ns	         0 p99-combine-duration-ns	  12567710 p99-combine-latency-ns	  12567710 p99-combine-workflow-latency-ns	   1131481 p99-gather-duration-ns	      1725 p99-gather-latency-ns	  12567710 p99-task-latency-ns	   1131481 p99-workflow-duration-ns	  12568429 p99-workflow-latency-ns	         1.982 tasks/op	      3731 tasks/sec	    1882 B/op	      50 allocs/op
BenchmarkCombinerThroughput/workload=waiting/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-12           	   45872	    513398 ns/op	         0 p50-combine-duration-ns	   1106399 p50-combine-latency-ns	   1106399 p50-combine-workflow-latency-ns	     28335 p50-gather-duration-ns	       709.7 p50-gather-latency-ns	   1106399 p50-task-latency-ns	     28335 p50-workflow-duration-ns	   1107250 p50-workflow-latency-ns	         0 p99-combine-duration-ns	  13043899 p99-combine-latency-ns	  13043899 p99-combine-workflow-latency-ns	   1129851 p99-gather-duration-ns	      1721 p99-gather-latency-ns	  13043899 p99-task-latency-ns	   1129851 p99-workflow-duration-ns	  13041542 p99-workflow-latency-ns	         1.981 tasks/op	      3859 tasks/sec	    1883 B/op	      50 allocs/op
BenchmarkCombinerThroughput/workload=waiting/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-12           	   47733	    514523 ns/op	         0 p50-combine-duration-ns	   1083318 p50-combine-latency-ns	   1083318 p50-combine-workflow-latency-ns	     27731 p50-gather-duration-ns	       711.8 p50-gather-latency-ns	   1083318 p50-task-latency-ns	     27731 p50-workflow-duration-ns	   1084149 p50-workflow-latency-ns	         0 p99-combine-duration-ns	  10566478 p99-combine-latency-ns	  10566478 p99-combine-workflow-latency-ns	   1129478 p99-gather-duration-ns	      1757 p99-gather-latency-ns	  10566478 p99-task-latency-ns	   1129478 p99-workflow-duration-ns	  10567235 p99-workflow-latency-ns	         1.981 tasks/op	      3851 tasks/sec	    1880 B/op	      50 allocs/op
BenchmarkCombinerThroughput/workload=waiting/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-12           	   45764	    521648 ns/op	         0 p50-combine-duration-ns	   1093082 p50-combine-latency-ns	   1093082 p50-combine-workflow-latency-ns	     28726 p50-gather-duration-ns	       715.9 p50-gather-latency-ns	   1093082 p50-task-latency-ns	     28726 p50-workflow-duration-ns	   1094304 p50-workflow-latency-ns	         0 p99-combine-duration-ns	  11351892 p99-combine-latency-ns	  11351892 p99-combine-workflow-latency-ns	   1130598 p99-gather-duration-ns	      1710 p99-gather-latency-ns	  11351892 p99-task-latency-ns	   1130598 p99-workflow-duration-ns	  11352577 p99-workflow-latency-ns	         1.982 tasks/op	      3799 tasks/sec	    1880 B/op	      50 allocs/op
BenchmarkCombinerThroughput/workload=waiting/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-12           	   47410	    518940 ns/op	         0 p50-combine-duration-ns	   1110074 p50-combine-latency-ns	   1110074 p50-combine-workflow-latency-ns	     27856 p50-gather-duration-ns	       706.4 p50-gather-latency-ns	   1110074 p50-task-latency-ns	     27856 p50-workflow-duration-ns	   1110970 p50-workflow-latency-ns	         0 p99-combine-duration-ns	  16071311 p99-combine-latency-ns	  16071311 p99-combine-workflow-latency-ns	   1131253 p99-gather-duration-ns	      1774 p99-gather-latency-ns	  16071311 p99-task-latency-ns	   1131253 p99-workflow-duration-ns	  16075435 p99-workflow-latency-ns	         1.980 tasks/op	      3816 tasks/sec	    1883 B/op	      50 allocs/op
BenchmarkCombinerThroughput/workload=waiting/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-12           	   44916	    527548 ns/op	         0 p50-combine-duration-ns	   1116055 p50-combine-latency-ns	   1116055 p50-combine-workflow-latency-ns	     28824 p50-gather-duration-ns	       717.4 p50-gather-latency-ns	   1116055 p50-task-latency-ns	     28824 p50-workflow-duration-ns	   1116866 p50-workflow-latency-ns	         0 p99-combine-duration-ns	  11889142 p99-combine-latency-ns	  11889142 p99-combine-workflow-latency-ns	   1132678 p99-gather-duration-ns	      1740 p99-gather-latency-ns	  11889142 p99-task-latency-ns	   1132678 p99-workflow-duration-ns	  11889822 p99-workflow-latency-ns	         1.982 tasks/op	      3758 tasks/sec	    1912 B/op	      50 allocs/op
BenchmarkCombinerThroughput/workload=waiting/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-12           	   47528	    515807 ns/op	         0 p50-combine-duration-ns	   1109881 p50-combine-latency-ns	   1109881 p50-combine-workflow-latency-ns	     28292 p50-gather-duration-ns	       717.7 p50-gather-latency-ns	   1109881 p50-task-latency-ns	     28292 p50-workflow-duration-ns	   1110744 p50-workflow-latency-ns	         0 p99-combine-duration-ns	  11157741 p99-combine-latency-ns	  11157741 p99-combine-workflow-latency-ns	   1131059 p99-gather-duration-ns	      1717 p99-gather-latency-ns	  11157741 p99-task-latency-ns	   1131059 p99-workflow-duration-ns	  11159110 p99-workflow-latency-ns	         1.983 tasks/op	      3844 tasks/sec	    1910 B/op	      50 allocs/op
BenchmarkCombinerThroughput/workload=waiting/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-12           	   47445	    507695 ns/op	         0 p50-combine-duration-ns	   1108163 p50-combine-latency-ns	   1108163 p50-combine-workflow-latency-ns	     28551 p50-gather-duration-ns	       708.0 p50-gather-latency-ns	   1108163 p50-task-latency-ns	     28551 p50-workflow-duration-ns	   1108898 p50-workflow-latency-ns	         0 p99-combine-duration-ns	  13404512 p99-combine-latency-ns	  13404512 p99-combine-workflow-latency-ns	   1128311 p99-gather-duration-ns	      1688 p99-gather-latency-ns	  13404512 p99-task-latency-ns	   1128311 p99-workflow-duration-ns	  13405207 p99-workflow-latency-ns	         1.982 tasks/op	      3905 tasks/sec	    1882 B/op	      50 allocs/op
PASS
ok  	github.com/petenewcomb/psg-go	574.532s
